Trade #,Date,Entry Time EST,Exit Time EST,Direction,Session,Entry Type,Entry Price,SL Price,TP1 Price,TP2 Price,Exit Price,Exit Reason,P&L ($),P&L pct,R:R Achieved,Running Equity,Confluence Score,Confluences,HTF Bias,Trade Duration (min),Size (oz),TP1 Hit,TP2 Hit,SL Hit
1,2025-09-02,07:50:00,07:55:00,long,London,FVG,3487.52,3482.44,3497.67,3502.75,3482.4,SL,-4.84,-0.484,-1.11,995.16,5,silver_bullet; htf_bias_aligned; liquidity_sweep; fib_79; fvg,bullish,5.0,0.86,False,False,True
2,2025-09-12,07:40:00,09:00:00,short,London,EQ,3648.41,3651.52,3642.21,3639.11,3642.87,TP1+Trail,4.41,0.443,1.73,999.57,6,silver_bullet; htf_bias_aligned; pdh_pdl_sweep; bos; smt; eq,bearish,80.0,0.82,True,False,True
3,2025-09-12,12:30:00,13:05:00,short,NY_AM,FVG,3644.73,3648.45,3637.3,3633.58,3648.5,SL,-3.5,-0.35,-1.15,996.07,5,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bearish,35.0,0.82,False,False,True
4,2025-09-15,06:15:00,07:05:00,short,London,EQ,3642.28,3645.28,3636.28,3633.28,3637.06,TP1+Trail,4.19,0.421,1.7,1000.26,5,htf_bias_aligned; liquidity_sweep; bos; smt; eq,bearish,50.0,0.82,True,False,True
5,2025-09-15,07:05:00,07:35:00,short,London,FVG,3637.64,3640.83,3631.26,3628.07,3640.92,SL,-3.1,-0.31,-1.19,997.16,7,silver_bullet; htf_bias_aligned; pdh_pdl_sweep; bos; smt; fib_79; fvg,bearish,30.0,0.82,False,False,True
6,2025-09-18,07:15:00,08:15:00,long,London,FVG,3642.75,3636.54,3655.18,3661.39,3653.75,TP1+Trail,8.3,0.832,1.8,1005.46,5,silver_bullet; htf_bias_aligned; liquidity_sweep; smt; fvg,bullish,60.0,0.74,True,False,True
7,2025-09-18,08:35:00,09:05:00,long,London,FVG,3654.63,3650.28,3663.32,3667.67,3667.67,TP2,8.6,0.855,2.38,1014.06,6,htf_bias_aligned; liquidity_sweep; bos; smt; fib_79; fvg,bullish,30.0,0.83,True,True,False
8,2025-09-18,13:00:00,13:05:00,long,NY_AM,FVG,3669.53,3664.37,3679.86,3685.02,3664.37,SL,-4.7,-0.463,-1.1,1009.36,5,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,5.0,0.83,False,False,True
9,2025-09-19,13:10:00,14:05:00,long,NY_AM,EQ,3652.78,3647.84,3662.67,3667.61,3659.43,TP1+Trail,6.45,0.639,1.57,1015.81,6,htf_bias_aligned; liquidity_sweep; bos; smt; fib_79; eq,bullish,55.0,0.83,True,False,True
10,2025-09-19,14:05:00,15:20:00,long,NY_AM,FVG,3658.63,3653.02,3669.84,3675.44,3675.44,TP2,11.22,1.105,2.41,1027.03,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,75.0,0.83,True,True,False
11,2025-09-19,17:45:00,18:55:00,long,NY_PM,EQ,3675.05,3672.05,3681.05,3684.05,3684.05,TP2,5.88,0.573,2.33,1032.91,6,htf_bias_aligned; pdh_pdl_sweep; bos; smt; fib_79; eq,bullish,70.0,0.84,True,True,False
12,2025-09-23,18:50:00,18:55:00,short,NY_PM,FVG,3781.68,3786.07,3772.89,3768.5,3768.5,TP2,8.59,0.832,2.39,1041.5,5,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fvg,bearish,5.0,0.82,True,True,False
13,2025-09-25,06:00:00,06:10:00,long,London,FVG,3736.0,3732.45,3743.1,3746.64,3746.64,TP2,7.03,0.675,2.36,1048.53,5,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,10.0,0.84,True,True,False
14,2025-09-25,07:35:00,07:55:00,long,London,FVG,3746.44,3742.34,3754.64,3758.74,3750.92,TP1+Trail,4.91,0.468,1.42,1053.44,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,20.0,0.84,True,False,True
15,2025-09-25,18:30:00,19:00:00,long,NY_PM,FVG,3746.41,3741.64,3755.95,3760.72,3753.49,TP1+Trail,6.56,0.623,1.64,1060.0,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,bullish,30.0,0.84,True,False,True
16,2025-09-26,12:30:00,12:40:00,long,NY_AM,FVG,3749.11,3745.27,3756.77,3760.6,3753.58,TP1+Trail,4.73,0.446,1.45,1064.73,5,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,10.0,0.85,True,False,True
17,2025-09-26,12:40:00,13:10:00,long,NY_AM,FVG,3749.11,3744.42,3758.49,3763.18,3763.18,TP2,9.54,0.896,2.39,1074.27,5,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,30.0,0.85,True,True,False
18,2025-09-30,18:15:00,18:20:00,long,NY_PM,EQ,3848.01,3844.14,3855.77,3859.64,3844.07,SL,-3.73,-0.347,-1.15,1070.54,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; eq,bullish,5.0,0.84,False,False,True
19,2025-10-02,14:25:00,14:30:00,long,NY_AM,FVG,3885.76,3876.89,3903.5,3912.37,3876.86,SL,-5.36,-0.501,-1.06,1065.18,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,5.0,0.57,False,False,True
20,2025-10-07,07:55:00,08:00:00,long,London,FVG,3951.91,3945.69,3964.35,3970.57,3945.65,SL,-5.34,-0.501,-1.09,1059.84,6,silver_bullet; htf_bias_aligned; liquidity_sweep; smt; fib_79; fvg,bullish,5.0,0.79,False,False,True
21,2025-10-09,06:45:00,06:50:00,long,London,EQ,4041.6,4035.86,4053.06,4058.79,4035.77,SL,-5.0,-0.472,-1.1,1054.84,5,htf_bias_aligned; liquidity_sweep; bos; fib_79; eq,bullish,5.0,0.79,False,False,True
22,2025-10-09,08:35:00,09:05:00,long,London,FVG,4033.02,4028.75,4041.57,4045.84,4037.93,TP1+Trail,4.86,0.461,1.46,1059.7,5,htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,bullish,30.0,0.78,True,False,True
23,2025-10-09,14:00:00,14:05:00,long,NY_AM,EQ,4048.37,4036.14,4072.83,4085.06,4036.06,SL,-5.38,-0.508,-1.05,1054.32,5,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; eq,bullish,5.0,0.42,False,False,True
24,2025-10-10,06:55:00,07:15:00,short,London,EQ,3967.23,3974.16,3953.36,3946.42,3959.65,TP1+Trail,7.26,0.689,1.47,1061.58,5,htf_bias_aligned; liquidity_sweep; bos; fib_79; eq,bearish,20.0,0.71,True,False,True
25,2025-10-10,14:00:00,15:05:00,short,NY_AM,FVG,3991.24,4001.56,3970.6,3960.28,4001.61,SL,-5.32,-0.501,-1.05,1056.26,5,silver_bullet; htf_bias_aligned; pdh_pdl_sweep; bos; fvg,bearish,65.0,0.49,False,False,True
26,2025-10-10,18:10:00,18:15:00,short,NY_PM,FVG,3990.18,3998.07,3974.4,3966.51,3998.08,SL,-5.29,-0.501,-1.06,1050.97,5,silver_bullet; htf_bias_aligned; pdh_pdl_sweep; bos; fvg,bearish,5.0,0.63,False,False,True
27,2025-10-13,18:00:00,19:10:00,short,NY_PM,FVG,4109.46,4115.88,4096.62,4090.2,4097.23,TP1+Trail,4.57,0.435,1.88,1055.54,5,silver_bullet; htf_bias_aligned; liquidity_sweep; smt; fvg,bearish,70.0,0.38,True,False,True
28,2025-10-17,12:40:00,13:35:00,long,NY_AM,FVG,4302.88,4283.5,4341.64,4361.02,4283.47,SL,-2.59,-0.245,-1.03,1052.95,5,htf_bias_aligned; liquidity_sweep; smt; fib_79; fvg,bullish,55.0,0.13,False,False,True
29,2025-10-20,12:35:00,13:00:00,long,NY_AM,FVG,4299.4,4287.85,4322.51,4334.06,4315.76,TP1+Trail,4.23,0.402,1.66,1057.18,5,htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,bullish,25.0,0.22,True,False,True
30,2025-10-20,14:10:00,14:30:00,long,NY_AM,FVG,4304.09,4289.94,4332.38,4346.53,4320.47,TP1+Trail,3.93,0.372,1.54,1061.11,5,silver_bullet; htf_bias_aligned; liquidity_sweep; fib_79; fvg,bullish,20.0,0.18,True,False,True
31,2025-10-21,06:40:00,07:30:00,long,London,FVG,4326.32,4317.2,4344.58,4353.7,4317.1,SL,-2.72,-0.256,-1.07,1058.39,6,htf_bias_aligned; liquidity_sweep; bos; smt; fib_79; fvg,bullish,50.0,0.28,False,False,True
32,2025-10-21,08:05:00,08:10:00,long,London,FVG,4338.95,4323.01,4370.83,4386.78,4322.97,SL,-2.64,-0.249,-1.03,1055.75,5,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,5.0,0.16,False,False,True
33,2025-10-23,07:35:00,09:30:00,short,London,FVG,4113.46,4125.07,4090.23,4078.61,4125.14,SL,-2.68,-0.254,-1.05,1053.07,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,bearish,115.0,0.22,False,False,True
34,2025-10-23,18:05:00,18:10:00,short,NY_PM,FVG,4132.95,4141.08,4116.69,4108.56,4141.11,SL,-2.68,-0.254,-1.06,1050.39,5,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fvg,bearish,5.0,0.31,False,False,True
35,2025-10-24,17:40:00,17:50:00,short,NY_PM,FVG,4132.55,4140.49,4116.67,4108.74,4108.74,TP2,6.0,0.571,2.44,1056.39,5,htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,bearish,10.0,0.31,True,True,False
36,2025-10-24,18:10:00,18:15:00,short,NY_PM,FVG,4132.55,4140.73,4116.18,4108.0,4108.0,TP2,5.99,0.567,2.44,1062.38,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,bearish,5.0,0.3,True,True,False
37,2025-10-28,18:30:00,18:50:00,short,NY_PM,FVG,3962.74,3970.58,3947.05,3939.21,3954.05,TP1+Trail,3.74,0.352,1.49,1066.12,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,bearish,20.0,0.32,True,False,True
38,2025-10-30,17:30:00,17:50:00,long,NY_PM,EQ,4004.53,3998.0,4017.59,4024.12,4011.39,TP1+Trail,3.59,0.337,1.45,1069.71,6,htf_bias_aligned; liquidity_sweep; bos; smt; fib_79; eq,bullish,20.0,0.38,True,False,True
39,2025-10-30,17:55:00,18:05:00,long,NY_PM,FVG,4007.43,4000.56,4021.17,4028.04,4000.53,SL,-2.66,-0.249,-1.08,1067.05,5,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,10.0,0.36,False,False,True
40,2025-10-31,17:40:00,00:00:00,long,NY_PM,EQ,3994.54,3985.46,4012.72,4021.8,3985.43,SL,-2.69,-0.252,-1.06,1064.3600000000001,6,htf_bias_aligned; liquidity_sweep; bos; smt; fib_79; eq,bullish,3260.0,0.28,False,False,True
41,2025-11-03,19:35:00,23:05:00,long,NY_PM,FVG,4003.92,3997.41,4016.95,4023.47,3997.38,SL,-2.68,-0.252,-1.08,1061.68,5,silver_bullet; htf_bias_aligned; liquidity_sweep; smt; fvg,bullish,210.0,0.38,False,False,True
42,2025-11-06,13:35:00,13:45:00,short,NY_AM,FVG,4010.59,4016.02,3999.73,3994.29,4016.11,SL,-2.71,-0.255,-1.11,1058.97,5,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bearish,10.0,0.45,False,False,True
43,2025-11-06,14:20:00,14:30:00,short,NY_AM,FVG,4004.25,4010.4,3991.95,3985.8,3995.3,TP1+Trail,4.05,0.382,1.65,1063.02,5,htf_bias_aligned; pdh_pdl_sweep; bos; smt; fvg,bearish,10.0,0.4,True,False,True
44,2025-11-06,18:40:00,18:45:00,short,NY_PM,FVG,3972.67,3978.9,3960.2,3953.97,3978.99,SL,-2.66,-0.25,-1.1,1060.3600000000001,5,htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,bearish,5.0,0.39,False,False,True
45,2025-11-11,19:45:00,20:20:00,long,NY_PM,FVG,4120.22,4116.63,4127.42,4131.01,4125.17,TP1+Trail,3.62,0.341,1.55,1063.98,5,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fvg,bullish,35.0,0.65,True,False,True
46,2025-11-14,08:40:00,10:05:00,long,London,FVG,4175.38,4166.34,4193.46,4202.5,4166.28,SL,-2.69,-0.253,-1.06,1061.29,5,silver_bullet; htf_bias_aligned; liquidity_sweep; fib_79; fvg,bullish,85.0,0.28,False,False,True
47,2025-11-14,15:00:00,18:00:00,long,NY_AM,FVG,4059.26,4039.88,4098.03,4117.42,4091.69,TP1+Trail,4.56,0.43,1.81,1065.85,5,silver_bullet; htf_bias_aligned; pdh_pdl_sweep; smt; fvg,bullish,180.0,0.13,True,False,True
48,2025-11-17,19:40:00,20:05:00,short,NY_PM,FVG,4035.09,4045.67,4013.94,4003.36,4017.59,TP1+Trail,4.52,0.424,1.78,1070.37,7,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; choch; fib_79; fvg,bearish,25.0,0.24,True,False,True
49,2025-11-19,09:40:00,09:45:00,long,London,FVG,4085.56,4079.61,4097.46,4103.41,4103.41,TP2,5.89,0.55,2.42,1076.26,5,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,5.0,0.41,True,True,False
50,2025-11-19,09:45:00,09:55:00,long,London,FVG,4093.44,4086.9,4106.52,4113.06,4113.06,TP2,6.02,0.559,2.42,1082.28,5,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,10.0,0.38,True,True,False
51,2025-11-19,19:10:00,19:15:00,long,NY_PM,FVG,4083.37,4074.25,4101.62,4110.75,4074.16,SL,-2.72,-0.251,-1.06,1079.56,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; fvg,bullish,5.0,0.28,False,False,True
52,2025-11-20,15:00:00,16:50:00,short,NY_AM,FVG,4099.52,4113.66,4071.23,4057.08,4057.08,TP2,6.27,0.581,2.46,1085.83,5,silver_bullet; htf_bias_aligned; liquidity_sweep; smt; fvg,bearish,110.0,0.18,True,True,False
53,2025-11-21,15:35:00,15:55:00,short,NY_AM,EQ,4061.64,4072.03,4040.85,4030.45,4072.05,SL,-2.73,-0.251,-1.05,1083.1,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; eq,bearish,20.0,0.25,False,False,True
54,2025-11-24,08:15:00,09:05:00,short,London,FVG,4062.08,4068.71,4048.84,4042.22,4068.8,SL,-2.74,-0.253,-1.09,1080.36,5,silver_bullet; htf_bias_aligned; liquidity_sweep; fib_79; fvg,bearish,50.0,0.38,False,False,True
55,2025-11-24,14:50:00,14:55:00,short,NY_AM,EQ,4072.85,4080.66,4057.23,4049.41,4080.67,SL,-2.66,-0.246,-1.07,1077.7,5,htf_bias_aligned; pdh_pdl_sweep; bos; fib_79; eq,bearish,5.0,0.32,False,False,True
56,2025-11-25,07:05:00,07:10:00,long,London,EQ,4148.56,4143.08,4159.52,4165.0,4143.01,SL,-2.72,-0.252,-1.1,1074.98,5,htf_bias_aligned; liquidity_sweep; bos; smt; eq,bullish,5.0,0.45,False,False,True
57,2025-11-25,15:05:00,15:10:00,long,NY_AM,EQ,4147.02,4134.95,4171.18,4183.26,4134.9,SL,-2.65,-0.247,-1.04,1072.33,5,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; eq,bullish,5.0,0.21,False,False,True
58,2025-11-27,07:10:00,07:30:00,long,London,FVG,4150.18,4145.39,4159.78,4164.58,4157.71,TP1+Trail,4.11,0.383,1.68,1076.44,5,htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,bullish,20.0,0.51,True,False,True
59,2025-11-27,07:30:00,08:10:00,long,London,FVG,4150.18,4145.62,4159.32,4163.89,4163.89,TP2,5.79,0.538,2.39,1082.23,5,htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,bullish,40.0,0.53,True,True,False
60,2025-12-01,14:45:00,14:50:00,long,NY_AM,EQ,4259.31,4247.51,4282.92,4294.72,4247.43,SL,-2.72,-0.251,-1.05,1079.51,5,htf_bias_aligned; liquidity_sweep; bos; fib_79; eq,bullish,5.0,0.22,False,False,True
61,2025-12-01,19:50:00,19:55:00,long,NY_PM,EQ,4242.41,4236.13,4254.96,4261.24,4236.05,SL,-2.74,-0.254,-1.09,1076.77,6,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fib_79; eq,bullish,5.0,0.4,False,False,True
62,2025-12-02,08:20:00,09:00:00,long,London,FVG,4215.18,4209.89,4225.76,4231.05,4209.88,SL,-2.67,-0.248,-1.1,1074.1,6,silver_bullet; htf_bias_aligned; pdh_pdl_sweep; smt; fib_79; fvg,bullish,40.0,0.46,False,False,True
63,2025-12-02,14:00:00,14:35:00,long,NY_AM,FVG,4210.26,4202.72,4225.33,4232.87,4223.1,TP1+Trail,2.29,0.213,1.79,1076.39,5,htf_bias_aligned; pdh_pdl_sweep; bos; smt; fvg,bullish,35.0,0.17,True,False,True
